year,sex,n_all
1880,F,97606
1880,M,118399
1881,F,98855
1881,M,108282
1882,F,115695
1882,M,122031
1883,F,120059
1883,M,112475
1884,F,137585
1884,M,122738
1885,F,141948
1885,M,115945
1886,F,153735
1886,M,119042
1887,F,155422
1887,M,109312
1888,F,189445
1888,M,129906
1889,F,189219
1889,M,119032
1890,F,201661
1890,M,119701
1891,F,196565
1891,M,109265
1892,F,224913
1892,M,131454
1893,F,225232
1893,M,121042
1894,F,235971
1894,M,124893
1895,F,247106
1895,M,126643
1896,F,251993
1896,M,129071
1897,F,248275
1897,M,121942
1898,F,274145
1898,M,132103
1899,F,247490
1899,M,115193
1900,F,317749
1900,M,162130
1901,F,254229
1901,M,115595
1902,F,280334
1902,M,132749
1903,F,278196
1903,M,129323
1904,F,292435
1904,M,138509
1905,F,309865
1905,M,143237
1906,F,313439
1906,M,144070
1907,F,337434
1907,M,158587
1908,F,354532
1908,M,166366
1909,F,368096
1909,M,176867
1910,F,419529
1910,M,208520
1911,F,441818
1911,M,241397
1912,F,586717
1912,M,451454
1913,F,654915
1913,M,536248
1914,F,796623
1914,M,683322
1915,F,1023875
1915,M,880939
1916,F,1085722
1916,M,923257
1917,F,1123694
1917,M,959318
1918,F,1202361
1918,M,1048659
1919,F,1174648
1919,M,1015343
1920,F,1244037
1920,M,1100808
1921,F,1279724
1921,M,1137938
1922,F,1247566
1922,M,1125235
1923,F,1252471
1923,M,1132312
1924,F,1295704
1924,M,1169067
1925,F,1263083
1925,M,1151437
1926,F,1230172
1926,M,1145498
1927,F,1236386
1927,M,1161904
1928,F,1195490
1928,M,1141176
1929,F,1157538
1929,M,1107586
1930,F,1166457
1930,M,1129492
1931,F,1103660
1931,M,1069607
1932,F,1106253
1932,M,1074353
1933,F,1045955
1933,M,1020063
1934,F,1082267
1934,M,1061786
1935,F,1086718
1935,M,1069435
1936,F,1077519
1936,M,1064193
1937,F,1101792
1937,M,1093547
1938,F,1141389
1938,M,1136350
1939,F,1134048
1939,M,1133186
1940,F,1181265
1940,M,1186034
1941,F,1245877
1941,M,1254704
1942,F,1390422
1942,M,1408114
1943,F,1435302
1943,M,1454381
1944,F,1366466
1944,M,1389009
1945,F,1346069
1945,M,1371295
1946,F,1612860
1946,M,1650231
1947,F,1817812
1947,M,1857427
1948,F,1742590
1948,M,1782647
1949,F,1755503
1949,M,1801847
1950,F,1758528
1950,M,1818951
1951,F,1847266
1951,M,1911703
1952,F,1902064
1952,M,1973506
1953,F,1929550
1953,M,2002709
1954,F,1990784
1954,M,2068477
1955,F,2004606
1955,M,2089398
1956,F,2059536
1956,M,2145489
1957,F,2097606
1957,M,2187416
1958,F,2065042
1958,M,2152938
1959,F,2078457
1959,M,2166230
1960,F,2079840
1960,M,2165483
1961,F,2076459
1961,M,2155960
1962,F,2026959
1962,M,2101993
1963,F,1987967
1963,M,2065040
1964,F,1957280
1964,M,2027257
1965,F,1827358
1965,M,1895074
1966,F,1755571
1966,M,1817858
1967,F,1716718
1967,M,1779692
1968,F,1709551
1968,M,1775997
1969,F,1762688
1969,M,1829830
1970,F,1831875
1970,M,1905492
1971,F,1752347
1971,M,1818322
1972,F,1612444
1972,M,1674601
1973,F,1554033
1973,M,1614188
1974,F,1566128
1974,M,1630714
1975,F,1560752
1975,M,1623023
1976,F,1571892
1976,M,1633214
1977,F,1644956
1977,M,1709906
1978,F,1643831
1978,M,1709198
1979,F,1723179
1979,M,1791881
1980,F,1780457
1980,M,1855123
1981,F,1788311
1981,M,1862602
1982,F,1814115
1982,M,1887309
1983,F,1789478
1983,M,1863555
1984,F,1803021
1984,M,1876493
1985,F,1846024
1985,M,1924060
1986,F,1845194
1986,M,1921200
1987,F,1873937
1987,M,1949705
1988,F,1922720
1988,M,2001554
1989,F,1991956
1989,M,2095594
1990,F,2054068
1990,M,2151328
1991,F,2033211
1991,M,2119305
1992,F,2004359
1992,M,2098714
1993,F,1971251
1993,M,2065056
1994,F,1949089
1994,M,2038005
1995,F,1921292
1995,M,2011052
1996,F,1916969
1996,M,2003445
1997,F,1908932
1997,M,1997504
1998,F,1938143
1998,M,2027277
1999,F,1946338
1999,M,2038528
2000,F,1995083
2000,M,2087629
2001,F,1980245
2001,M,2067645
2002,F,1974205
2002,M,2065765
2003,F,2005654
2003,M,2100314
2004,F,2016842
2004,M,2112415
2005,F,2028464
2005,M,2126319
2006,F,2089358
2006,M,2191194
2007,F,2115228
2007,M,2213820
2008,F,2081402
2008,M,2178908
2009,F,2023472
2009,M,2119417
2010,F,1958903
2010,M,2052693
2011,F,1935688
2011,M,2029287
2012,F,1937107
2012,M,2026765
2013,F,1924917
2013,M,2017811
2014,F,1953009
2014,M,2045761
2015,F,1946978
2015,M,2040117
2016,F,1930885
2016,M,2020441
2017,F,1882771
2017,M,1972095
2018,F,1846101
2018,M,1928871
